1,건설업,건설업,기초파일작업,기초파일작업
2,건설업,건설업,굴착작업,굴착작업
3,건설업,건설업,발파작업,발파 작업
4,건설업,건설업,흙막이지보공작업,흙막이 지보공 작업
5,건설업,건설업,되메움작업,되메움 작업
6,건설업,건설업,거푸집작업,거푸집 작업
7,건설업,건설업,갱폼작업,갱폼 작업
8,건설업,건설업,라이닝거푸집작업,라이닝 거푸집 작업
9,건설업,건설업,철근작업,철근 작업
10,건설업,건설업,콘크리트작업,콘크리트 작업
11,건설업,건설업,철골작업,철골 작업
12,건설업,건설업,"조적,미장및견출작업","조적, 미장 및 견출 작업"
13,건설업,건설업,방수작업,방수 작업
14,건설업,건설업,석재및타일작업,석재 및 타일 작업
15,건설업,건설업,도장작업,도장작업
16,건설업,건설업,금속및잡철물작업,금속 및 잡철물 작업
17,건설업,건설업,창호및유리작업,창호 및 유리 작업
18,건설업,건설업,수장작업,수장 작업
19,건설업,건설업,판넬등외부마감작업,판넬 등 외부 마감 작업
20,건설업,건설업,전기설비작업,전기설비 작업
21,건설업,건설업,기계설비작업,기계설비 작업
22,건설업,건설업,엘리베이터설치작업,엘리베이터 설치 작업
23,건설업,건설업,맨홀및관부설작업,맨홀 및 관 부설 작업
24,건설업,건설업,조경작업,조경작업
25,건설업,건설업,부대토목작업,부대토목 작업
26,건설업,건설업,가설도로작업,가설도로 작업
27,건설업,건설업,지장물조사및이설작업,지장물 조사 및 이설 작업
28,건설업,건설업,제작장설치작업,제작장 설치 작업
29,건설업,건설업,슬립폼(슬라이딩폼)작업,슬립폼(슬라이딩폼)작업
30,건설업,건설업,케이슨작업,케이슨 작업
31,건설업,건설업,강교설치작업,강교 설치 작업
32,건설업,건설업,PSC교량작업,PSC 교량 작업
33,건설업,건설업,포장작업,포장 작업
34,건설업,건설업,포설및다짐작업,포설 및 다짐 작업
35,건설업,건설업,특수교량작업,특수교량 작업
36,건설업,건설업,수직구작업,수직구 작업
37,건설업,건설업,갱구부작업,갱구부 작업
38,건설업,건설업,터널굴착작업,터널굴착 작업
39,건설업,건설업,터널보강작업,터널보강 작업
40,건설업,건설업,터널방수작업,터널방수작업
41,건설업,건설업,터널배수작업,터널 배수 작업
42,건설업,건설업,특수터널작업,특수터널작업
43,건설업,건설업,가제철(물막이)작업,가제철(물막이) 작업
44,건설업,건설업,그라우팅작업,그라우팅 작업
45,건설업,건설업,특수댐작업,특수댐 작업
46,건설업,건설업,가설플랜트작업,가설플랜트 작업
47,건설업,건설업,작업환경,작업 환경
48,건설업,건설업,안전가시설작업,안전가시설 작업
49,건설업,건설업,가설전기작업,가설전기 작업
50,건설업,건설업,양중기작업,양중기 작업
51,건설업,건설업,위험기계기구작업,위험기계기구 작업
52,건설업,건설업,건설기계관리사업,건설기계관리
